n,M1NC,M2NC,HMNC,FNC,NCD1,NCD2,NCD3,NCD4,NCD5,SKNC,SK1NC,SK2NC,mRNC,ISNC
1,1024,4175,17194,8844,503.042335,15.839647,72440,8.251583,137.4567,512,2087.5,4298.5,6.9845,247.2942
2,2070,8534,35098,18030,1017.634997,31.494529,149416,16.290186,274.082,1035,4267,8774.5,13.8413,500.6228
3,3116,12893,53002,27216,1532.227659,47.149411,226392,24.328789,410.7073,1558,6446.5,13250.5,20.6981,753.9514
4,4162,17252,70906,36402,2046.820321,62.804293,303368,32.367392,547.3326,2081,8626,17726.5,27.5549,1007.28
5,5208,21611,88810,45588,2561.412983,78.459175,380344,40.405995,683.9579,2604,10805.5,22202.5,34.4117,1260.6086
6,6254,25970,106714,54774,3076.005645,94.114057,457320,48.444598,820.5832,3127,12985,26678.5,41.2685,1513.9372
7,7300,30329,124618,63960,3590.598307,109.768939,534296,56.483201,957.2085,3650,15164.5,31154.5,48.1253,1767.2658
8,8346,34688,142522,73146,4105.190969,125.423821,611272,64.521804,1093.8338,4173,17344,35630.5,54.9821,2020.5944
9,9392,39047,160426,82332,4619.783631,141.078703,688248,72.560407,1230.4591,4696,19523.5,40106.5,61.8389,2273.923
10,10438,43406,178330,91518,5134.376293,156.733585,765224,80.59901,1367.0844,5219,21703,44582.5,68.6957,2527.2516
